Name,State/Territory,Home Base,Travelling Allowance,Overseas Travel,Domestic Scheduled Fares,Charter,Car Costs,Office Facilities,Office Administrative Costs,Telecommunications,Family Travel Costs
Senator Peter Georgiou,Western Australia,N/A,0,0,0,0,78.6,0,178.18,0,0
Mr Brett Whiteley,Tasmania,Squeaking Point,0,0,-1263.64,1036.08,0,0,0,0,0
Mr Eric Hutchinson,Tasmania,Launceston,516,0,0,0,0,0,0,0,0
The Hon Jamie Briggs,South Australia,Aldgate,0,0,0,0,0,0,2027.05,0,0
Mr Robert Simms,South Australia,Adelaide,0,0,0,0,0,0,-2200,0,0
Mr Zhenya Wang,Western Australia,Perth,0,0,0,0,0,0,458.19,0,0
Ms Anna Burke,Victoria,Melbourne,0,-309.96,0,0,0,0,0,0,0
The Hon Michael Ronaldson,Victoria,Lake Wendouree,0,-3754.97,0,0,0,0,0,0,0
The Hon Andrew Robb AO,Victoria,Brighton,0,-4504.17,0,0,0,0,0,0,0
The Hon Alan Griffin,Victoria,Melbourne,0,0,0,0,0,-111.7,0,0,0
Mrs Karen McNamara,New South Wales,Hamlyn Terrace,0,0,0,0,0,-192.9,0,0,0
Senator Richard Di Natale,Victoria,Deans Marsh,4740,0,11409.9,0,13682.04,57615.11,13227.88,1545.79,-1697.07
Ms Nova Peris OAM,Northern Territory,Darwin,0,0,0,0,-162.04,0,0,0,-1747.06
